dew_point,avg_wind,humidity,rain,rain_sum,snow_depth,rain_amount,snow_amount,ice_measure,friction,ice_frequency,mean_temperature,condition
-12.7,5.5,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,487.0,-8.8,Normal
-5.410822409887349,3.2589179889817594,92.6278569431762,1.519790935881898,4.10213418860963,0.0,0.030638426929906676,0.34204161541261285,0.0,0.353417951329154,210.6299303312258,-2.7696408448494134,Ice
-3.2,2.1,96.0,4.0,2.1,0.0,0.0,0.34,0.11,0.38,112.0,-8.1,Snow
0.4,0.9,98.0,0.0,0.7,0.0,0.02,0.0,0.0,0.82,465.0,4.550000000000001,Rain
-6.922236128475035,2.760300905628134,76.32282057735995,2.7267958296495522,3.0858232620507335,0.0,0.1544525747203525,0.2202405863216272,0.0027425364757487913,0.3675499821066658,105.0,-1.3,Ice
-8.5,5.6,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,112.0,-5.5,Normal
-1.1,2.434885573796291,100.0,1.4882008147726458,5.137551636468502,0.0,0.0,0.0,0.13120271026944572,0.38373553149225037,110.57249027180414,-5.529887038708047,Ice
4.5,1.2,54.0,0.0,0.0,0.0,0.01,0.0,0.0,0.82,105.0,6.15,Rain
3.2,0.4,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,420.0,8.9,Normal
-7.9,3.4,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,438.0,-4.05,Normal
-13.4,1.9,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,105.0,-6.95,Ice
-7.180592608059671,0.1,83.82448006944125,3.724814504698192,0.0,0.0,0.09038846623865451,0.09050132023069891,0.2166244925375648,0.6048871888340338,250.0776052308918,-1.3,Ice
3.4,0.3,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,402.0,8.5,Normal
-4.2,2.1,96.0,4.0,1.0,4.0,0.0,0.4,0.15,0.34,112.0,-3.4,Snow
2.9,6.1,77.0,0.0,12.5,0.0,0.21,0.0,0.0,0.74,110.0,1.35,Rain
7.3,1.2,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,410.0,8.299999999999999,Normal
-7.6,5.5,66.0,4.0,0.3,0.0,0.0,0.0,0.0,0.82,432.0,-2.9,Snow
-9.964935470067456,3.7354023895287876,82.67855562831552,1.7967187277090546,0.0,0.0,0.25,0.05155688744934924,0.196305015628514,0.5333891604954375,105.0,-7.5587400138294445,Ice
-14.2,3.4,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,112.0,-9.75,Normal
-17.6,0.8,45.0,0.0,0.0,0.0,0.0,0.51,0.02,0.38,415.0,-16.3,Normal
-7.3,4.2,67.0,4.0,0.0,0.0,0.0,0.0,0.0,0.82,465.0,-1.75,Snow
3.3,1.6,100.0,1.0,6.9,0.0,0.24,0.0,0.0,0.73,112.0,-4.1499999999999995,Rain
5.8,1.3,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,432.0,9.45,Normal
-10.0,3.1,61.0,4.0,0.0,0.0,0.0,0.0,0.0,0.82,422.0,-3.8000000000000003,Snow
2.4,2.4,99.0,0.0,4.3,0.0,0.0,0.0,0.0,0.82,115.0,-4.3500000000000005,Rain
-15.4,2.7,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,406.0,-6.75,Normal
-6.318345369333308,7.2,75.67496511058405,1.128237218474559,0.0,0.0,0.00043905192961068984,0.18256300026243216,0.029736157085081386,0.6192598444068106,169.94364597018824,-7.317098626667953,Ice
-6.5,2.6,73.0,4.0,0.0,0.0,0.01,0.0,0.0,0.82,112.0,-5.05,Snow
-14.2,3.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,425.0,-6.4,Normal
-4.735667874927105,5.529417509570525,100.0,1.139949524397802,2.399101588208362,0.0,0.10311737494051676,0.028969964862268938,0.0,0.5899862285305335,228.27753723813515,-3.3441239981058466,Ice
-7.6,5.3,67.0,4.0,0.5,0.0,0.0,0.0,0.0,0.82,422.0,-3.1,Snow
-3.1,2.6,99.0,5.0,4.8,15.0,0.07,0.21,0.38,0.13,112.0,-1.7999999999999998,Snow
-7.015870201421238,2.564731914597291,88.96779750919964,0.0,1.287601335765292,0.0,0.08730432863390039,0.13593134028157403,0.03144603405833271,0.6225852021403417,109.76126413971336,-1.3,Ice
4.2,4.0,95.0,0.0,0.7,0.0,0.14,0.0,0.0,0.78,115.0,1.5,Rain
-13.9,3.5,43.0,4.0,0.0,0.0,0.0,0.0,0.0,0.82,357.0,-6.6,Rain
-13.6,5.2,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,487.0,-7.55,Normal
-4.159955849153972,2.0626078119887374,100.0,0.8606921288566161,2.3359652543988347,0.0,0.027977750019914593,0.0,0.012848642133493751,0.82,105.0,-3.403977922200036,Ice
-6.92077123847754,3.9024432459522838,91.09767738948761,1.931101224188329,1.9590344430665305,0.0,0.13346398576929844,0.20791896453267056,0.1283759322973378,0.6676804552644446,105.0,-6.753325102906687,Ice
-14.8,0.3,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,450.0,-6.7,Normal
-16.9,2.4,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,410.0,-3.15,Normal
-24.3,0.3,67.0,0.0,0.0,0.0,0.0,0.52,0.02,0.38,420.0,-17.599999999999998,Normal
-15.3,0.3,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,410.0,-5.25,Normal
5.3,1.6,100.0,0.0,0.2,0.0,0.1,0.0,0.0,0.8,112.0,1.25,Rain
-15.1,0.4,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,420.0,-5.449999999999999,Normal
-1.83214234841402,0.6099586768764889,78.5170904946773,1.3581159415845026,1.5519224590189764,0.0,0.15787664365227355,0.28152680745884207,0.140491638332433,0.7224363172646779,105.0,-9.825238835512657,Ice
-9.675888310457342,2.8058458599804466,67.15830403683478,1.912662207839476,0.0,0.0,0.19712678813996382,0.0,0.0727028978295163,0.5238855970924408,105.0,-5.923540163684064,Ice
6.9,1.1,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,415.0,9.05,Normal
7.0,0.4,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,393.0,9.9,Normal
4.8,2.8,92.0,0.0,0.7,0.0,0.21,0.0,0.0,0.74,112.0,1.5999999999999999,Rain
0.0,1.3,100.0,4.0,4.6,5.0,0.0,0.31,0.16,0.3,107.0,-3.0,Snow
-2.2,2.3,100.0,4.0,4.3,6.0,0.25,0.0,0.0,0.73,112.0,-2.85,Snow
-4.4,1.2,93.0,4.0,3.0,3.0,0.0,0.23,0.2,0.23,115.0,-2.1999999999999997,Snow
4.1,1.5,100.0,1.0,10.7,0.0,0.51,0.0,0.0,0.67,110.0,-4.300000000000001,Rain
3.9,3.1,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,465.0,8.3,Normal
5.4,1.1,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,417.0,9.649999999999999,Normal
-1.6770095183290015,1.4935351351951878,94.62080403400435,0.0,1.8176803938177892,0.0,0.0,0.1720664332968547,0.2216351925568671,0.5542989128964482,105.0,-1.3,Ice
-7.4,3.6,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,122.0,-4.05,Normal
7.7,1.3,66.0,0.0,0.2,0.0,0.0,0.0,0.0,0.82,110.0,9.55,Rain
5.5,2.4,95.0,0.0,6.5,0.0,0.3,0.0,0.0,0.71,110.0,0.4500000000000002,Rain
-3.6,1.6,90.0,4.0,0.1,8.0,0.0,0.0,0.0,0.82,110.0,-2.45,Snow
-11.9,1.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,405.0,-7.949999999999999,Normal
-1.3,5.6,93.0,4.0,0.4,2.0,0.28,0.04,0.06,0.71,110.0,-3.95,Snow
1.8,0.6,78.0,0.0,0.0,0.0,0.48,0.0,0.0,0.67,110.0,3.5500000000000003,Rain
-13.5,5.8,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,115.0,-4.9,Normal
4.2,3.2,99.0,0.0,3.0,0.0,0.43,0.0,0.0,0.68,112.0,-2.2,Rain
-5.8,2.7,80.0,4.0,0.1,3.0,0.05,0.0,0.0,0.81,112.0,-4.1499999999999995,Snow
-17.7,0.6,36.0,0.0,2.2,0.0,0.0,0.0,0.0,0.82,402.0,-5.75,Normal
